order_lbs,sunny_profit,normal_profit,poor_profit,expected_profit
2500000,104340.0,96116.66666666663,71446.66666666663,92004.99999999997
2550000,106426.79999999993,98039.0,72875.59999999998,93845.09999999998
2600000,108513.59999999998,99961.33333333337,74304.53333333333,95685.20000000001
2650000,110600.40000000002,101883.66666666663,75733.46666666667,97525.29999999999
2700000,112687.19999999995,103806.0,77162.40000000002,99365.4
2750000,114774.0,105728.33333333337,77785.75,101004.10416666669
2800000,116860.79999999993,107650.66666666663,77442.3999999999,102401.13333333327
2850000,118947.59999999998,109573.0,77099.05000000005,103798.1625
2900000,121034.40000000002,111495.33333333337,76755.70000000007,105195.19166666671
2950000,123121.19999999995,113417.66666666663,76412.34999999998,106592.2208333333
3000000,125208.0,115340.0,76069.0,107989.25
3050000,127294.79999999993,117262.33333333337,75725.6499999999,109386.27916666665
3100000,129381.59999999998,119184.66666666663,75382.29999999993,110783.30833333329
3150000,131468.40000000002,121107.0,75038.95000000007,112180.33750000002
3200000,133555.19999999995,123029.33333333337,74695.59999999998,113577.36666666667
3250000,135642.0,124951.66666666663,74352.25,114974.39583333331
3300000,137728.79999999993,126874.0,74008.8999999999,116371.42499999996
3350000,139815.59999999998,128796.33333333337,73665.54999999993,117768.45416666666
3400000,141902.40000000002,130718.66666666663,73322.20000000007,119165.48333333334
3450000,143989.19999999995,132641.0,72978.84999999998,120562.51249999998
3500000,146076.0,134563.33333333337,72635.5,121959.54166666669
3550000,148162.79999999993,136485.66666666663,72292.1499999999,123356.57083333327
3600000,150249.59999999998,138408.0,71948.79999999993,124753.59999999998
3650000,152336.3999999999,140330.33333333337,69868.79999999993,125716.46666666665
3700000,154423.19999999995,142252.66666666663,63157.733333333395,125521.56666666665
3750000,156510.0,144175.0,56446.66666666663,125326.66666666666
3800000,158596.79999999993,146097.33333333337,49735.59999999998,125131.76666666666
3850000,160683.59999999998,148019.66666666663,43024.533333333326,124936.86666666664
3900000,162770.3999999999,149942.0,36313.466666666674,124741.96666666665
3950000,164857.19999999995,151864.33333333337,29602.400000000023,124547.06666666668
4000000,166944.0,153786.66666666663,22891.333333333372,124352.16666666666
4050000,169030.79999999993,155709.0,16180.266666666605,124157.26666666663
4100000,171117.59999999998,157631.33333333337,9469.20000000007,123962.3666666667
4150000,173204.3999999999,159553.66666666663,2758.1333333333023,123767.46666666662
4200000,175291.19999999995,161476.0,-3952.933333333349,123572.56666666665
4250000,177378.0,163398.33333333337,-10664.0,123377.66666666669
4300000,179464.79999999993,165320.66666666663,-17375.066666666768,123182.7666666666
4350000,181551.59999999986,167243.0,-24086.133333333302,122987.86666666664
4400000,183638.3999999999,169165.33333333326,-30797.20000000007,122792.96666666659
4450000,185725.19999999995,171087.66666666674,-37508.266666666605,122598.06666666671
4500000,187812.0,173010.0,-44219.33333333337,122403.16666666666
4550000,189898.80000000005,174932.33333333326,-50930.40000000002,122208.26666666663
4600000,191985.59999999986,176854.66666666674,-57641.466666666674,122013.36666666667
4650000,194072.3999999999,178777.0,-64352.533333333326,121818.46666666665
4700000,196159.19999999995,180699.33333333326,-71063.59999999998,121623.56666666662
4750000,198246.0,182621.66666666674,-77774.66666666663,121428.66666666672
4800000,200332.80000000005,184544.0,-84485.7333333334,121233.76666666666
4850000,202419.59999999986,186466.33333333326,-91196.79999999993,121038.86666666661
4900000,204506.3999999999,188388.66666666674,-97907.8666666667,120843.96666666667
4950000,206593.19999999995,190311.0,-104618.93333333335,120649.06666666665
5000000,208680.0,192233.33333333326,-111330.0,120454.16666666663
5050000,210766.80000000005,194155.66666666674,-118041.06666666677,120259.26666666669
5100000,212853.59999999986,196078.0,-124752.1333333333,120064.36666666664
5150000,214940.3999999999,198000.33333333326,-131463.20000000007,119869.46666666659
5200000,217027.19999999995,199922.66666666674,-138174.2666666666,119674.56666666671
5250000,219114.0,201845.0,-144885.33333333337,119479.66666666666
5300000,221200.80000000005,203767.33333333326,-151596.40000000002,119284.76666666663
5350000,223287.59999999986,205689.66666666674,-158307.46666666667,119089.86666666667
5400000,225374.3999999999,207612.0,-165018.53333333333,118894.96666666665
5450000,227461.19999999995,209534.33333333326,-171729.59999999998,118700.06666666662
5500000,229548.0,211456.66666666674,-178440.66666666663,118505.16666666672
5550000,231634.80000000005,213379.0,-185151.7333333334,118310.26666666666
5600000,233721.59999999986,215301.33333333326,-191862.79999999993,118115.36666666661
5650000,235808.3999999999,217223.66666666674,-198573.8666666667,117920.46666666667
5700000,237895.19999999995,219146.0,-205284.93333333335,117725.56666666665
5750000,239982.0,221068.33333333326,-211996.0,117530.66666666663
5800000,242068.80000000005,222990.66666666674,-218707.06666666677,117335.76666666669
5850000,244155.59999999986,224913.0,-225418.1333333333,117140.86666666664
5900000,246242.3999999999,226835.33333333326,-232129.20000000007,116945.96666666659
5950000,248329.19999999995,228757.66666666674,-238840.2666666666,116751.06666666671
6000000,250416.0,230680.0,-245551.33333333337,116556.16666666666
6050000,252502.80000000005,231796.75,-252262.40000000002,115958.475
6100000,254589.59999999986,232913.5,-258973.46666666667,115360.7833333333
6150000,256676.3999999999,234030.25,-265684.5333333333,114763.09166666665
6200000,258763.19999999995,235147.0,-272395.6,114165.4
6250000,260850.0,236263.75,-279106.6666666666,113567.70833333334
6300000,262936.80000000005,237380.5,-285817.7333333334,112970.01666666666
6350000,265023.59999999986,238497.25,-292528.79999999993,112372.32499999998
6400000,267110.3999999999,239614.0,-299239.8666666667,111774.6333333333
6450000,269197.19999999995,240730.75,-305950.93333333335,111176.94166666665
6500000,271284.0,241847.5,-312662.0,110579.25
6550000,273370.80000000005,242964.25,-319373.06666666677,109981.55833333332
6600000,275457.59999999986,244081.0,-326084.1333333334,109383.86666666661
6650000,277544.3999999999,245197.75,-332795.20000000007,108786.17499999996
6700000,279631.19999999995,246314.5,-339506.2666666666,108188.48333333334
6750000,281718.0,247431.25,-346217.3333333334,107590.79166666666
6800000,283804.80000000005,248548.0,-352928.4,106993.1
6850000,285891.59999999986,249664.75,-359639.4666666668,106395.40833333327
6900000,287978.3999999999,250781.5,-366350.5333333333,105797.71666666665
6950000,290065.19999999995,251898.25,-373061.6,105200.025
7000000,292152.0,253015.0,-379772.6666666666,104602.33333333334
7050000,294238.80000000005,254131.75,-386483.7333333334,104004.64166666666
7100000,296325.59999999986,255248.5,-393194.80000000005,103406.94999999995
7150000,298412.3999999999,256365.25,-399905.8666666667,102809.2583333333
7200000,300499.19999999995,257482.0,-406616.93333333335,102211.56666666665
7250000,302586.0,258598.75,-413328.0,101613.875
7300000,304672.7999999998,259715.5,-420039.06666666677,101016.18333333326
7350000,306759.59999999986,260832.25,-426750.1333333334,100418.49166666661
7400000,308846.3999999999,261949.0,-433461.20000000007,99820.79999999996
7450000,310933.19999999995,263065.75,-440172.2666666666,99223.10833333334
7500000,313020.0,264182.5,-446883.3333333335,98625.41666666663
7550000,315106.7999999998,265299.25,-453594.3999999999,98027.72499999998
7600000,317193.59999999986,266416.0,-460305.4666666668,97430.03333333327
7650000,319280.3999999999,267532.75,-467016.5333333332,96832.34166666667
7700000,321367.19999999995,268649.5,-473727.6000000001,96234.64999999997
7750000,323454.0,269766.25,-480438.6666666665,95636.95833333337
7800000,325540.7999999998,270883.0,-487149.7333333334,95039.2666666666
7850000,327627.59999999986,271999.75,-493860.80000000005,94441.57499999995
7900000,329714.3999999999,273116.5,-500571.8666666667,93843.8833333333
7950000,331801.19999999995,274233.25,-507282.93333333335,93246.19166666665
8000000,333888.0,275350.0,-513994.0,92648.5
8050000,335974.7999999998,273572.33333333326,-520705.0666666669,90603.59999999986
8100000,338061.59999999986,271794.66666666674,-527416.1333333333,88558.70000000001
8150000,340148.3999999999,270017.0,-534127.2000000002,86513.79999999993
8200000,342235.19999999995,268239.33333333326,-540838.2666666666,84468.89999999997
8250000,344322.0,266461.66666666674,-547549.3333333333,82424.00000000006
8300000,346408.7999999998,264684.0,-554260.4000000001,80379.09999999992
8350000,348495.59999999986,262906.33333333326,-560971.4666666668,78334.1999999999
8400000,350582.3999999999,261128.66666666674,-567682.5333333334,76289.29999999999
8450000,352669.19999999995,259351.0,-574393.5999999999,74244.40000000002
8500000,354756.0,257573.33333333326,-581104.6666666667,72199.49999999994
8550000,356842.7999999998,255795.66666666674,-587815.7333333334,70154.59999999998
8600000,358929.59999999986,254018.0,-594526.8,68109.69999999995
8650000,361016.3999999999,252240.33333333326,-601237.8666666667,66064.79999999993
8700000,363103.1999999997,250462.66666666674,-607948.9333333333,64019.899999999965
8750000,365190.0,248685.0,-614660.0,61975.0
8800000,367276.7999999998,246907.33333333326,-621371.0666666667,59930.09999999992
8850000,369363.6000000001,245129.66666666674,-628082.1333333335,57885.20000000001
8900000,371450.3999999999,243352.0,-634793.2,55840.29999999999
8950000,373537.1999999997,241574.33333333326,-641504.2666666666,53795.39999999991
9000000,375624.0,239796.66666666674,-648215.3333333333,51750.50000000006
9050000,377710.7999999998,238019.0,-654926.4000000001,49705.59999999992
9100000,379797.6000000001,236241.33333333326,-661637.4666666668,47660.69999999995
9150000,381884.3999999999,234463.66666666674,-668348.5333333334,45615.79999999999
9200000,383971.1999999997,232686.0,-675059.5999999999,43570.899999999965
9250000,386058.0,230908.33333333326,-681770.6666666667,41525.99999999994
9300000,388144.7999999998,229130.66666666674,-688481.7333333334,39481.09999999998
9350000,390231.6000000001,227353.0,-695192.8,37436.20000000001
9400000,392318.3999999999,225575.33333333302,-701903.8666666667,35391.299999999814
9450000,394405.1999999997,223797.66666666698,-708614.9333333333,33346.40000000008
9500000,396492.0,222020.0,-715326.0,31301.5
9550000,398578.7999999998,220242.33333333302,-722037.0666666667,29256.599999999802
9600000,400665.6000000001,218464.66666666698,-728748.1333333335,27211.700000000128
9650000,402752.3999999999,216687.0,-735459.2,25166.79999999999
9700000,404839.1999999997,214909.3333333335,-742170.2666666666,23121.900000000023
9750000,406926.0,213131.6666666665,-748881.3333333333,21076.99999999994
9800000,409012.7999999998,211354.0,-755592.4000000001,19032.09999999992
9850000,411099.6000000001,209576.3333333335,-762303.4666666668,16987.20000000007
9900000,413186.3999999999,207798.6666666665,-769014.5333333334,14942.299999999872
9950000,415273.1999999997,206021.0,-775725.5999999999,12897.399999999965
10000000,417360.0,204243.3333333335,-782436.6666666667,10852.500000000058
10050000,418963.4500000002,202465.6666666665,-789147.7333333334,8686.762499999953
10100000,420566.8999999999,200688.0,-795858.8,6521.024999999965
10150000,422170.3499999996,198910.3333333335,-802569.8666666667,4355.287499999977
10200000,423773.7999999998,197132.6666666665,-809280.9333333333,2189.549999999872
10250000,425377.25,195355.0,-815992.0,23.8125
10300000,426980.7000000002,193577.3333333335,-822703.0666666667,-2141.924999999872
10350000,428584.1499999999,191799.6666666665,-829414.1333333335,-4307.662500000151
10400000,430187.5999999996,190022.0,-836125.2,-6473.4000000000815
10450000,431791.0499999998,188244.3333333335,-842836.2666666666,-8639.137499999953
10500000,433394.5,186466.6666666665,-849547.3333333333,-10804.875000000058
10550000,434997.9500000002,184689.0,-856258.4000000001,-12970.612499999988
10600000,436601.3999999999,182911.3333333335,-862969.4666666668,-15136.349999999977
10650000,438204.8499999996,181133.6666666665,-869680.5333333332,-17302.08750000014
10700000,439808.2999999998,179356.0,-876391.5999999999,-19467.82500000001
10750000,441411.75,177578.3333333335,-883102.6666666667,-21633.56249999994
10800000,443015.1999999997,175800.6666666665,-889813.7333333334,-23799.300000000163
10850000,444618.6499999999,174023.0,-896524.8,-25965.037500000035
10900000,446222.1000000001,172245.3333333335,-903235.8666666667,-28130.774999999907
10950000,447825.5499999998,170467.6666666665,-909946.9333333333,-30296.512500000128
11000000,449429.0,168690.0,-916658.0,-32462.25
11050000,451032.4499999997,166912.3333333335,-923369.0666666667,-34627.98749999999
11100000,452635.8999999999,165134.6666666665,-930080.1333333335,-36793.72500000015
11150000,454239.3499999996,163357.0,-936791.2,-38959.46250000008
11200000,455842.7999999998,161579.3333333335,-943502.2666666666,-41125.19999999995
11250000,457446.25,159801.6666666665,-950213.3333333333,-43290.93750000006
11300000,459049.6999999997,158024.0,-956924.4000000001,-45456.675000000105
11350000,460653.1499999999,156246.3333333335,-963635.4666666668,-47622.41249999998
